id_pagamento,id_pedido,valor_pago,data_pagamento,metodo_pagamento
50,4280,1727.38,2023-11-24,Boleto
51,9537,977.12,2023-05-15,Cartão de Crédito
52,9925,1540.77,2022-03-20,Cartão de Débito
53,3379,331.42,2023-03-02,Cartão de Débito
54,344,885.85,2022-04-20,Cartão de Crédito
55,2284,1639.22,2022-12-22,Pix
56,2550,270.04,2023-04-03,Cartão de Crédito
57,224,1679.2,2022-07-02,Boleto
58,9888,1297.83,2022-11-06,Pix
59,2923,1745.08,2023-04-17,Boleto
60,7582,300.11,2024-06-22,Pix
61,3835,664.78,2024-01-07,Cartão de Crédito
62,4216,1430.15,2022-11-25,Cartão de Crédito
63,5720,639.83,2022-12-29,Cartão de Débito
64,8514,1937.86,2023-11-02,Cartão de Débito
65,8817,1727.37,2023-09-20,Cartão de Crédito
66,3733,1822.25,2022-08-29,Cartão de Débito
67,211,202.72,2024-09-28,Boleto
68,7948,950.32,2022-11-24,Boleto
69,4550,1375.94,2024-03-02,Cartão de Débito
70,987,1715.18,2023-02-28,Cartão de Crédito
71,4097,1379.36,2024-09-03,Cartão de Crédito
72,1475,1200.41,2021-12-05,Cartão de Débito
73,5783,1201.71,2024-06-17,Cartão de Débito
74,8315,942.54,2024-06-17,Cartão de Débito
75,1674,1062.22,2024-06-19,Pix
76,4229,1233.98,2024-05-15,Cartão de Crédito
77,1153,1738.73,2023-10-20,Cartão de Crédito
78,5761,480.55,2023-06-04,Pix
79,2998,439.72,2021-12-14,Pix
80,8441,1360.48,2022-12-07,Cartão de Crédito
81,2410,755.95,2022-09-28,Cartão de Crédito
82,436,624.49,2023-09-16,Boleto
83,9733,1357.45,2023-11-30,Boleto
84,1992,1209.35,2022-10-15,Cartão de Débito
85,2959,1270.7,2024-06-09,Pix
86,7571,901.49,2022-06-21,Boleto
87,7801,1581.52,2023-03-09,Cartão de Débito
88,175,1626.35,2023-05-21,Cartão de Débito
89,4410,152.24,2022-02-18,Pix
90,9040,349.92,2022-08-22,Boleto
91,2535,1930.07,2023-05-20,Pix
92,6108,1182.72,2024-05-19,Cartão de Débito
93,1267,1845.13,2024-02-08,Cartão de Crédito
94,7531,321.37,2024-06-19,Cartão de Débito
95,6700,1568.72,2024-06-07,Pix
96,7152,796.01,2022-03-07,Cartão de Crédito
97,2239,1304.88,2023-11-16,Cartão de Crédito
98,9168,546.23,2024-06-08,Cartão de Débito
99,6078,676.39,2023-03-04,Pix
100,6940,563.98,2022-11-11,Cartão de Crédito
101,1610,1171.47,2022-08-19,Pix
102,8947,1227.27,2024-01-20,Boleto
103,2336,1836.47,2023-01-23,Cartão de Débito
104,1201,1218.36,2023-11-23,Cartão de Débito
105,1569,1998.74,2021-12-24,Pix
106,8359,713.35,2022-10-19,Cartão de Crédito
107,1059,159.24,2022-05-09,Boleto
108,4755,1219.28,2022-12-27,Pix
109,5980,268.98,2022-05-02,Pix
110,1949,535.1,2024-02-13,Cartão de Débito
111,5378,509.54,2023-01-30,Cartão de Crédito
112,4697,1476.77,2024-07-23,Pix
113,209,1274.57,2022-11-05,Cartão de Crédito
114,962,1421.55,2023-08-28,Pix
115,7791,1518.7,2021-12-04,Pix
116,3386,319.73,2022-11-07,Boleto
117,9380,1023.68,2024-02-12,Pix
118,8415,846.75,2023-08-15,Cartão de Débito
119,8360,544.09,2023-10-12,Cartão de Crédito
120,1116,770.08,2022-02-01,Pix
121,6414,756.34,2023-05-17,Pix
122,678,1940.01,2024-05-11,Boleto
123,7481,1147.88,2023-12-20,Pix
124,790,812.47,2023-07-27,Cartão de Crédito
125,9548,1604.45,2023-04-27,Boleto
126,2845,1119.08,2022-11-07,Cartão de Débito
127,4094,784.13,2022-04-03,Cartão de Débito
128,4519,845.34,2022-10-31,Cartão de Débito
129,3007,1705.3,2022-10-13,Cartão de Crédito
130,4898,842.26,2022-02-14,Cartão de Débito
131,2230,582.57,2024-05-30,Cartão de Débito
132,863,1880.73,2024-06-06,Cartão de Crédito
133,3881,35.47,2023-12-17,Boleto
134,228,1104.07,2024-03-13,Cartão de Débito
135,244,1046.94,2024-03-08,Boleto
136,8262,1728.73,2024-08-10,Cartão de Crédito
137,4068,1973.33,2022-10-08,Cartão de Débito
138,9465,74.79,2021-11-30,Pix
139,7762,971.14,2024-09-10,Cartão de Débito
140,8487,1844.34,2022-03-28,Boleto
141,6272,573.09,2024-11-03,Pix
142,1735,977.18,2023-02-23,Cartão de Débito
143,4982,1536.33,2022-09-20,Cartão de Crédito
144,1963,280.82,2024-10-03,Boleto
145,7957,1419.1,2024-06-02,Pix
146,369,1721.02,2022-02-26,Cartão de Débito
147,8101,785.25,2023-08-11,Cartão de Débito
148,6297,1991.5,2024-02-10,Cartão de Crédito
149,9507,1476.09,2024-07-15,Cartão de Crédito
150,2441,337.66,2022-10-28,Boleto
151,6683,1939.69,2024-01-09,Cartão de Crédito
152,2218,1540.92,2024-07-09,Pix
153,3127,984.45,2023-02-12,Cartão de Débito
154,99,637.82,2024-10-06,Pix
155,1365,1442.85,2023-01-11,Boleto
156,1241,909.92,2022-04-14,Cartão de Crédito
157,5855,1341.83,2022-10-25,Cartão de Débito
158,5853,907.44,2022-01-23,Boleto
159,8393,1935.38,2022-02-21,Cartão de Débito
160,9787,1945.59,2023-01-26,Pix
161,5361,1109.88,2024-08-03,Boleto
162,2201,182.28,2023-04-11,Cartão de Débito
163,8405,1951.66,2024-11-27,Pix
164,3861,1510.5,2022-11-22,Boleto
165,110,1784.39,2022-09-04,Boleto
166,4937,1352.68,2024-10-21,Cartão de Crédito
167,2346,1672.4,2022-11-01,Cartão de Débito
168,3034,1199.6,2021-11-30,Pix
169,5056,440.76,2023-01-02,Cartão de Crédito
170,9583,1858.65,2023-05-03,Pix
171,3281,810.87,2023-03-07,Pix
172,4226,1600.63,2022-06-06,Cartão de Crédito
173,964,627.11,2023-04-23,Cartão de Débito
174,6966,1902.23,2022-03-30,Boleto
175,1708,1782.36,2023-10-08,Cartão de Crédito
176,5094,1998.51,2022-02-10,Boleto
177,8959,1440.94,2022-11-18,Cartão de Crédito
178,9400,538.41,2022-08-21,Boleto
179,9815,500.57,2024-08-10,Cartão de Crédito
180,5435,1055.19,2021-12-10,Pix
181,793,331.71,2024-08-10,Cartão de Débito
182,28,1357.38,2024-08-14,Pix
183,5307,1962.72,2022-06-04,Cartão de Débito
184,3636,1733.9,2024-08-14,Cartão de Débito
185,5102,1880.92,2023-12-14,Pix
186,2597,336.05,2024-03-14,Pix
187,191,1167.7,2022-04-11,Cartão de Crédito
188,7518,244.66,2022-02-12,Boleto
189,731,653.34,2022-02-01,Cartão de Débito
190,4214,408.47,2024-01-26,Cartão de Crédito
191,2405,741.27,2022-04-24,Cartão de Crédito
192,4425,129.74,2023-07-28,Pix
193,5366,204.52,2022-10-24,Cartão de Crédito
194,1319,1207.47,2021-12-05,Pix
195,7235,426.04,2023-07-28,Boleto
196,4123,661.71,2023-09-02,Cartão de Débito
197,9521,851.82,2022-08-23,Cartão de Crédito
198,5120,1865.73,2023-09-11,Boleto
199,2716,95.3,2024-07-07,Cartão de Crédito
200,3700,1580.58,2022-12-03,Cartão de Crédito
201,2378,1826.95,2024-03-12,Boleto
202,3095,986.51,2024-05-03,Boleto
203,9223,1770.46,2024-11-02,Cartão de Débito
204,634,1836.62,2024-11-13,Pix
205,6697,514.38,2022-02-17,Boleto
206,5661,1586.85,2022-05-21,Boleto
207,1312,1530.32,2023-05-12,Pix
208,9597,1635.31,2024-07-04,Pix
209,7700,157.3,2022-03-22,Boleto
210,489,623.33,2024-09-11,Cartão de Crédito
211,2620,813.94,2022-06-08,Pix
212,7710,70.44,2022-11-01,Cartão de Débito
213,6531,647.21,2022-05-18,Cartão de Débito
214,814,980.91,2024-06-13,Cartão de Débito
215,2891,1076.62,2022-04-18,Boleto
216,7386,577.06,2022-10-20,Cartão de Débito
217,6238,1123.74,2022-10-12,Cartão de Crédito
218,3487,1877.47,2022-10-02,Boleto
219,1346,1803.0,2022-05-23,Cartão de Crédito
220,1733,651.03,2024-03-01,Boleto
221,5631,180.77,2022-09-19,Pix
222,8709,684.32,2023-08-29,Boleto
223,143,1216.53,2023-12-17,Pix
224,9788,1405.98,2023-06-10,Pix
225,6990,57.83,2022-01-22,Pix
226,699,303.97,2022-02-11,Boleto
227,4342,1921.07,2021-12-27,Boleto
228,8057,225.26,2022-11-11,Pix
229,635,1997.99,2023-06-07,Cartão de Crédito
230,6031,1435.87,2024-09-26,Boleto
231,8908,540.48,2022-03-05,Pix
232,5871,1530.72,2023-01-20,Cartão de Débito
233,8067,1805.81,2024-03-13,Cartão de Débito
234,3170,1661.03,2023-10-13,Boleto
235,8949,1175.48,2024-07-17,Cartão de Débito
236,9475,113.15,2023-05-22,Cartão de Crédito
237,9936,1253.37,2023-05-12,Cartão de Débito
238,921,1907.92,2024-01-23,Cartão de Crédito
239,1018,654.18,2023-07-09,Boleto
240,7416,362.15,2024-04-25,Boleto
241,1711,540.95,2024-10-08,Pix
242,5174,83.83,2023-07-13,Cartão de Crédito
243,8207,712.85,2022-12-06,Pix
244,723,1955.4,2024-08-26,Cartão de Crédito
245,9482,1916.41,2022-08-29,Cartão de Débito
246,4278,1781.44,2022-08-02,Cartão de Débito
247,5631,1935.2,2022-12-25,Boleto
248,5743,365.25,2022-04-01,Cartão de Débito
249,1898,73.85,2024-09-15,Cartão de Crédito
250,4900,449.07,2022-04-26,Pix
251,4791,784.4,2022-09-23,Cartão de Débito
252,6728,192.6,2022-10-18,Boleto
253,8090,587.6,2022-03-31,Pix
254,7962,366.75,2024-09-23,Boleto
255,3524,478.09,2024-03-14,Boleto
256,1868,1095.5,2023-07-09,Cartão de Débito
257,7857,249.6,2024-02-12,Pix
258,3566,1992.24,2024-05-13,Boleto
259,8226,75.13,2022-06-30,Cartão de Débito
260,9355,726.4,2022-08-04,Boleto
261,2392,775.76,2024-10-31,Boleto
262,4710,1546.2,2022-02-02,Pix
263,7094,339.65,2023-01-11,Boleto
264,6304,115.67,2022-07-28,Pix
265,7868,1077.76,2022-06-27,Pix
266,1158,1527.97,2022-01-14,Cartão de Crédito
267,4961,527.32,2023-04-21,Pix
268,8031,263.98,2024-05-29,Cartão de Crédito
269,7272,396.48,2023-10-01,Cartão de Crédito
270,5723,1724.91,2023-06-25,Pix
271,3499,472.05,2022-02-26,Boleto
272,9214,1216.66,2024-01-01,Cartão de Crédito
273,5711,1927.31,2022-01-06,Cartão de Débito
274,4808,1543.46,2024-08-18,Cartão de Crédito
275,8772,201.77,2023-07-15,Boleto
276,2001,1930.3,2024-08-26,Boleto
277,7649,1801.18,2023-09-29,Cartão de Débito
278,3846,1645.89,2023-03-01,Cartão de Débito
279,6974,876.12,2023-05-22,Pix
280,7116,344.45,2022-08-30,Cartão de Débito
281,2547,936.76,2022-04-15,Cartão de Débito
282,2582,705.74,2021-12-02,Boleto
283,7153,1956.63,2022-03-27,Pix
284,4132,475.57,2023-01-11,Cartão de Crédito
285,9047,1436.2,2023-12-26,Boleto
286,6431,780.68,2024-03-21,Boleto
287,7975,840.44,2024-11-01,Cartão de Crédito
288,103,60.05,2022-06-04,Pix
289,9466,805.88,2024-08-10,Cartão de Crédito
290,7080,450.25,2024-06-17,Pix
291,573,1505.66,2024-05-13,Pix
292,758,1485.19,2022-09-21,Boleto
293,5988,1873.44,2022-11-12,Pix
294,5281,248.82,2022-07-21,Boleto
295,6588,745.17,2022-06-25,Boleto
296,31,1729.53,2023-12-04,Cartão de Crédito
297,8988,1261.68,2023-06-12,Boleto
298,6215,116.67,2022-09-10,Cartão de Débito
299,9136,1124.36,2021-12-06,Boleto
300,7059,1690.05,2022-03-01,Pix
301,3099,1073.39,2023-04-30,Cartão de Débito
302,8535,1674.07,2024-03-02,Pix
303,8401,590.75,2023-05-20,Cartão de Crédito
304,5015,377.23,2023-10-16,Pix
305,1916,362.67,2022-04-11,Cartão de Débito
306,8488,967.38,2022-07-28,Pix
307,9559,478.54,2023-12-03,Cartão de Débito
308,3961,1855.46,2024-02-25,Cartão de Crédito
309,7301,1532.39,2023-10-15,Boleto
310,9002,992.24,2024-11-21,Cartão de Crédito
311,5336,1950.62,2022-06-09,Boleto
312,2202,1490.02,2022-07-16,Cartão de Crédito
313,6077,1859.27,2024-03-11,Cartão de Crédito
314,9691,1171.93,2023-12-30,Boleto
315,7498,1142.21,2023-09-25,Pix
316,8927,553.99,2024-10-29,Boleto
317,2532,1953.38,2022-10-13,Pix
318,4474,1519.6,2023-03-17,Cartão de Débito
319,1654,1193.06,2022-12-28,Cartão de Débito
320,7192,1088.38,2023-06-28,Pix
321,5498,1489.15,2022-01-10,Cartão de Crédito
322,2996,1054.76,2023-02-02,Boleto
323,8959,776.18,2022-05-18,Boleto
324,9394,1842.13,2021-12-07,Cartão de Crédito
325,7744,243.19,2024-01-21,Cartão de Débito
326,8655,1310.37,2022-07-24,Cartão de Débito
327,2686,930.34,2023-09-29,Boleto
328,7885,719.46,2022-10-15,Cartão de Débito
329,961,1105.4,2022-02-27,Cartão de Débito
330,6445,742.85,2022-07-15,Boleto
331,9862,106.17,2023-01-24,Boleto
332,6352,1323.08,2024-02-27,Boleto
333,9017,322.55,2024-01-26,Boleto
334,4763,640.29,2024-06-25,Cartão de Débito
335,3507,580.11,2022-06-17,Boleto
336,6752,1449.59,2024-01-19,Cartão de Débito
337,1725,997.1,2024-10-23,Pix
338,2032,1932.24,2024-03-30,Cartão de Débito
339,8678,312.73,2023-09-01,Cartão de Crédito
340,7784,1392.19,2024-02-02,Boleto
341,1612,1261.69,2022-12-24,Boleto
342,7074,303.38,2022-08-19,Boleto
343,7688,277.08,2022-03-15,Cartão de Crédito
344,5699,1347.34,2021-12-25,Cartão de Débito
345,7871,1920.28,2023-12-25,Cartão de Crédito
346,9368,1018.68,2022-09-30,Cartão de Débito
347,2372,874.84,2022-07-22,Pix
348,2609,95.64,2022-03-01,Cartão de Crédito
349,5269,437.76,2023-06-08,Boleto
350,7078,729.45,2024-11-18,Cartão de Débito
351,2589,1157.91,2022-01-04,Cartão de Crédito
352,5155,1639.83,2023-05-30,Pix
353,4460,949.84,2022-01-09,Pix
354,9710,1763.76,2024-06-23,Pix
355,977,1020.76,2022-01-02,Boleto
356,9011,1881.12,2023-05-04,Cartão de Débito
357,7370,112.42,2022-11-27,Cartão de Débito
358,2789,83.12,2024-11-24,Boleto
359,7265,1568.1,2023-08-24,Pix
360,5591,936.4,2024-02-23,Cartão de Débito
361,6782,1809.62,2022-11-25,Pix
362,2021,72.84,2024-04-22,Cartão de Débito
363,8743,367.82,2024-10-19,Cartão de Crédito
364,2331,1965.91,2024-04-25,Cartão de Crédito
365,1926,1575.94,2023-09-23,Pix
366,1476,365.53,2022-07-18,Cartão de Crédito
367,9070,1001.53,2022-12-26,Boleto
368,7769,266.72,2023-09-24,Pix
369,1823,150.71,2022-01-26,Pix
370,385,1268.82,2024-09-06,Pix
371,515,360.0,2021-12-04,Cartão de Débito
372,1167,1749.27,2024-07-20,Cartão de Crédito
373,2564,1519.61,2022-10-22,Boleto
374,4727,675.63,2023-07-14,Cartão de Débito
375,209,1142.68,2024-03-02,Cartão de Débito
376,2546,569.4,2022-04-10,Pix
377,7799,1599.0,2022-06-26,Boleto
378,314,306.82,2024-03-18,Cartão de Débito
379,4195,763.89,2024-04-05,Boleto
380,6601,1876.64,2024-04-09,Pix
381,304,1267.15,2024-01-11,Cartão de Débito
382,9141,1675.53,2024-02-14,Pix
383,6948,768.96,2024-03-24,Cartão de Débito
384,4041,458.89,2022-03-17,Cartão de Débito
385,3165,1389.94,2023-11-16,Pix
386,4669,1539.09,2023-05-28,Cartão de Débito
387,7220,1459.95,2024-05-10,Cartão de Débito
388,7310,473.36,2023-02-19,Cartão de Crédito
389,1034,734.94,2022-08-15,Cartão de Crédito
390,4561,1167.95,2023-07-30,Pix
391,9121,1881.86,2022-07-29,Pix
392,4299,1594.59,2022-12-09,Cartão de Crédito
393,6325,799.93,2024-01-07,Cartão de Crédito
394,1887,889.32,2022-07-28,Boleto
395,4856,1048.85,2023-11-17,Cartão de Débito
396,7795,665.38,2024-02-23,Cartão de Crédito
397,3165,696.89,2022-04-27,Boleto
398,5853,635.64,2024-06-19,Cartão de Débito
399,8128,559.3,2024-04-25,Cartão de Débito
400,1318,269.51,2023-02-22,Pix
401,1276,1873.45,2021-12-26,Boleto
402,6985,1428.74,2022-05-26,Pix
403,6381,124.51,2022-04-14,Cartão de Débito
404,1918,1747.8,2022-10-19,Cartão de Crédito
405,9509,1698.28,2023-03-17,Boleto
406,6300,1433.79,2023-07-17,Cartão de Crédito
407,1473,1350.49,2022-12-16,Pix
408,1975,33.39,2022-05-13,Boleto
409,929,692.3,2021-12-26,Pix
410,9455,1830.12,2022-07-10,Boleto
411,2061,699.49,2021-12-27,Cartão de Débito
412,4511,1782.89,2022-04-20,Boleto
413,7165,1742.39,2023-06-28,Cartão de Crédito
414,1707,1063.43,2023-04-07,Boleto
415,4020,1804.22,2023-12-30,Cartão de Crédito
416,9487,1261.7,2024-01-12,Cartão de Débito
417,5694,507.26,2022-06-05,Pix
418,9832,1645.87,2023-07-04,Boleto
419,1512,483.84,2023-06-30,Boleto
420,8922,196.66,2023-12-29,Cartão de Crédito
421,3205,298.29,2022-06-10,Cartão de Crédito
422,9588,1451.8,2024-11-29,Pix
423,1327,1334.72,2023-08-30,Cartão de Débito
424,9313,1101.35,2024-11-02,Cartão de Crédito
425,7741,1771.77,2022-04-18,Boleto
426,3569,1186.12,2024-08-19,Boleto
427,72,800.7,2024-02-12,Boleto
428,4207,761.41,2024-10-04,Cartão de Crédito
429,8101,369.17,2022-03-02,Cartão de Débito
430,5766,1712.52,2022-02-05,Pix
431,3055,989.36,2022-01-22,Cartão de Crédito
432,1520,1195.82,2023-11-08,Pix
433,5567,1579.05,2023-01-25,Cartão de Crédito
434,5692,301.5,2022-10-27,Pix
435,4949,1305.11,2023-08-12,Pix
436,5637,1826.67,2022-05-18,Pix
437,345,1574.0,2024-11-18,Cartão de Débito
438,8631,741.0,2023-08-23,Cartão de Crédito
439,1810,421.09,2023-05-28,Cartão de Débito
440,8636,1565.58,2024-02-09,Cartão de Débito
441,8798,502.44,2022-07-12,Cartão de Crédito
442,6489,307.12,2024-01-20,Cartão de Crédito
443,2072,1181.46,2022-09-04,Cartão de Crédito
444,7632,1460.21,2022-09-27,Pix
445,7028,1084.11,2024-08-10,Boleto
446,9308,1931.24,2024-02-22,Cartão de Débito
447,9453,1550.65,2024-02-10,Pix
448,5839,1602.26,2023-04-01,Cartão de Débito
449,6430,935.41,2023-09-09,Cartão de Débito
450,567,623.84,2021-12-22,Pix
451,4697,1157.91,2023-01-12,Boleto
452,4289,709.21,2024-05-04,Cartão de Débito
453,1144,397.31,2023-08-08,Cartão de Débito
454,2569,1614.92,2022-03-12,Boleto
455,1534,688.76,2022-05-10,Cartão de Crédito
456,9265,1427.33,2023-01-09,Cartão de Débito
457,6422,1809.77,2024-10-29,Cartão de Crédito
458,5814,61.82,2023-03-16,Cartão de Débito
459,2311,1776.33,2022-04-29,Cartão de Crédito
460,1409,1057.92,2023-03-28,Cartão de Débito
461,9847,339.12,2021-12-12,Cartão de Débito
462,7014,1897.68,2022-06-16,Boleto
463,1113,1849.88,2024-06-19,Boleto
464,2562,154.81,2022-09-20,Boleto
465,8655,1074.41,2022-07-31,Cartão de Crédito
466,3314,270.87,2023-10-17,Cartão de Débito
467,3546,242.91,2023-05-22,Cartão de Débito
468,400,351.8,2023-03-04,Cartão de Crédito
469,5029,1059.79,2024-10-02,Cartão de Débito
470,3531,564.24,2022-08-13,Cartão de Débito
471,5480,1794.93,2023-02-24,Cartão de Débito
472,7449,1554.44,2023-05-21,Pix
473,9817,324.44,2022-10-18,Cartão de Débito
474,3295,1752.89,2022-08-24,Cartão de Crédito
475,6762,1510.8,2024-04-20,Pix
476,5840,752.9,2024-10-31,Pix
477,7977,1783.27,2024-09-28,Cartão de Crédito
478,7155,184.53,2022-07-17,Cartão de Débito
479,4655,1556.48,2022-02-03,Cartão de Débito
480,6983,939.96,2022-06-08,Pix
481,949,739.04,2024-09-25,Cartão de Débito
482,7589,1295.81,2023-08-11,Boleto
483,6043,1635.59,2023-02-16,Cartão de Crédito
484,7320,1112.31,2022-06-27,Boleto
485,8543,1330.21,2022-07-18,Cartão de Débito
486,1818,235.17,2024-05-05,Pix
487,2761,550.29,2024-09-28,Cartão de Crédito
488,7413,1166.17,2022-05-18,Boleto
489,4673,667.84,2023-10-26,Cartão de Crédito
490,8169,1383.75,2023-09-26,Cartão de Débito
491,8012,229.47,2023-07-24,Cartão de Débito
492,4680,1049.71,2022-01-21,Cartão de Débito
493,9648,829.5,2023-02-15,Cartão de Crédito
494,6294,1326.99,2022-12-08,Pix
495,464,1714.33,2022-12-16,Pix
496,6173,965.52,2023-04-15,Cartão de Crédito
497,673,196.38,2022-08-09,Cartão de Débito
498,5965,671.69,2023-06-09,Boleto
499,1195,447.48,2022-05-31,Boleto
500,5407,1815.53,2024-01-09,Pix
501,7721,1119.86,2024-04-23,Pix
502,1247,396.82,2024-08-15,Cartão de Débito
503,4547,1626.34,2022-04-30,Cartão de Débito
504,873,1287.45,2024-08-25,Boleto
505,3144,1123.57,2022-11-19,Pix
506,6736,1564.91,2022-05-16,Cartão de Crédito
507,9887,832.59,2022-07-27,Pix
508,4614,302.44,2024-01-23,Cartão de Crédito
509,1629,1072.22,2022-08-16,Cartão de Débito
510,5741,1002.42,2024-02-16,Boleto
511,9175,700.29,2023-01-13,Pix
512,5809,681.11,2023-08-02,Cartão de Crédito
513,5089,1941.31,2022-12-09,Boleto
514,3147,94.95,2023-01-31,Pix
515,746,1729.09,2023-04-16,Cartão de Débito
516,4618,1048.05,2022-02-18,Boleto
517,6072,1600.63,2022-05-14,Cartão de Débito
518,4242,1920.55,2023-02-10,Cartão de Débito
519,9839,244.12,2022-02-20,Boleto
520,5253,1088.05,2023-01-05,Cartão de Débito
521,2193,1773.79,2022-04-13,Boleto
522,1073,1513.22,2023-08-05,Pix
523,219,258.95,2024-11-06,Cartão de Débito
524,1139,1836.47,2023-05-04,Cartão de Crédito
525,2405,1508.9,2023-10-22,Pix
526,3737,147.75,2022-04-26,Cartão de Crédito
527,1019,1729.58,2023-05-23,Pix
528,2699,1737.31,2022-04-30,Cartão de Débito
529,1439,1085.16,2024-10-10,Cartão de Crédito
530,3707,1205.46,2022-10-27,Cartão de Crédito
531,82,903.53,2022-10-16,Pix
532,8002,634.52,2024-02-26,Pix
533,407,1755.0,2024-07-21,Boleto
534,1768,890.4,2023-12-17,Boleto
535,211,49.2,2024-03-23,Pix
536,9606,430.16,2022-04-20,Pix
537,144,667.91,2024-08-23,Boleto
538,5353,483.58,2022-03-28,Boleto
539,235,1012.74,2023-05-23,Cartão de Crédito
540,4926,1732.85,2024-11-06,Cartão de Débito
541,4002,523.52,2024-05-22,Cartão de Crédito
542,9953,1704.57,2024-07-05,Cartão de Crédito
543,5539,1575.29,2023-08-07,Boleto
544,9732,1369.31,2022-01-13,Boleto
545,8661,1377.87,2024-09-06,Pix
546,6247,1223.73,2023-07-06,Cartão de Crédito
547,2434,1986.01,2023-07-21,Cartão de Débito
548,5108,425.22,2023-04-20,Cartão de Débito
549,3772,41.46,2023-09-04,Cartão de Débito
550,3910,1756.09,2023-05-25,Cartão de Débito
551,9713,748.62,2023-06-17,Boleto
552,1294,1060.95,2022-03-12,Pix
553,3873,838.29,2024-02-08,Cartão de Débito
554,6813,1530.88,2023-07-13,Boleto
555,9503,205.29,2022-04-16,Boleto
556,8461,1385.7,2023-06-23,Cartão de Débito
557,3030,1309.75,2023-02-21,Cartão de Débito
558,1432,1596.64,2023-03-21,Cartão de Crédito
559,1658,1144.21,2022-12-21,Cartão de Crédito
560,1513,1255.55,2024-01-17,Boleto
561,3268,141.19,2024-02-08,Cartão de Crédito
562,234,43.01,2023-06-14,Pix
563,2287,398.29,2022-04-28,Boleto
564,495,631.39,2023-02-20,Cartão de Crédito
565,4350,815.1,2023-10-12,Cartão de Crédito
566,6698,1840.5,2024-11-13,Cartão de Crédito
567,7899,1524.65,2022-01-23,Cartão de Débito
568,9036,1734.63,2022-02-16,Cartão de Crédito
569,4146,1155.21,2022-05-10,Cartão de Débito
570,2729,1555.89,2024-03-29,Cartão de Débito
571,3515,1595.47,2024-07-01,Boleto
572,10000,1931.92,2022-06-27,Cartão de Crédito
573,7027,597.48,2024-06-23,Pix
574,1915,908.25,2024-01-14,Pix
575,4628,1846.76,2022-01-16,Cartão de Débito
576,7223,98.32,2022-01-24,Cartão de Crédito
577,3659,655.76,2022-03-05,Boleto
578,5229,1377.06,2024-01-26,Boleto
579,2831,1412.38,2023-07-06,Pix
580,7946,641.41,2023-10-23,Cartão de Débito
581,5393,891.01,2024-01-06,Cartão de Crédito
582,5329,1914.67,2024-07-30,Pix
583,6301,1059.89,2022-08-19,Cartão de Débito
584,6267,779.5,2024-04-23,Cartão de Crédito
585,8184,1049.27,2024-04-10,Cartão de Crédito
586,2665,340.55,2021-12-24,Pix
587,5204,130.06,2024-10-03,Boleto
588,1427,572.32,2024-08-01,Cartão de Débito
589,5092,1851.88,2022-03-18,Boleto
590,3010,1934.88,2022-02-04,Cartão de Débito
591,9367,1952.76,2023-03-28,Pix
592,6790,1351.84,2022-07-07,Pix
593,9829,745.64,2023-03-16,Cartão de Débito
