id_pedido,id_cliente,data_pedido,valor_total
312,8521,2022-03-28,1862.56
313,4777,2023-06-05,445.79
314,5313,2022-02-02,1795.54
315,6644,2022-12-30,788.93
316,5458,2022-09-22,495.87
317,2558,2023-03-30,1063.8
318,3141,2024-09-12,857.18
319,5718,2024-02-06,176.53
320,5410,2024-03-31,1260.46
321,8801,2022-11-02,1440.8
322,1056,2023-09-11,1084.93
323,6877,2021-12-29,626.04
324,2056,2022-05-04,319.03
325,9306,2022-07-21,144.71
326,1677,2022-08-22,1874.96
327,7428,2024-02-15,1365.53
328,8974,2023-01-30,316.18
329,7191,2022-12-27,895.42
330,8293,2022-07-07,1048.48
331,4004,2023-04-19,1204.98
332,8065,2023-03-25,1130.25
333,9124,2024-08-13,124.46
334,3755,2023-03-04,240.18
335,7674,2022-01-12,414.97
336,3190,2021-12-27,123.17
337,4859,2022-07-21,96.53
338,3553,2024-05-26,123.12
339,3286,2023-12-27,1253.65
340,2845,2023-01-15,863.09
341,1443,2022-07-25,1732.15
342,991,2023-08-09,371.7
343,4282,2023-09-04,1615.19
344,5645,2024-09-05,1989.23
345,9708,2022-03-23,385.31
346,928,2022-03-16,1316.85
347,4529,2023-01-27,951.71
348,5185,2023-10-22,1895.5
349,1605,2024-10-13,875.11
350,9283,2024-10-04,1701.67
351,9834,2024-01-05,272.02
352,226,2021-12-04,1911.94
353,8809,2022-07-27,627.85
354,2123,2021-12-02,1266.13
355,5289,2022-01-14,1792.7
356,4736,2023-02-07,249.9
357,9625,2023-07-01,1337.42
358,5546,2024-03-28,1390.34
359,6446,2024-04-18,289.32
360,3628,2023-03-31,789.99
361,6870,2022-12-14,1471.6
362,4725,2022-06-08,1953.49
363,770,2023-10-21,459.31
364,1357,2024-02-12,1052.09
365,8390,2023-03-16,904.25
366,3778,2023-03-30,1886.08
367,9331,2022-10-25,1021.41
368,8728,2024-06-24,1435.62
369,5293,2023-01-11,1209.93
370,9624,2022-07-09,402.79
371,7728,2023-06-09,196.26
372,9816,2023-03-06,393.43
373,9808,2022-06-10,1329.56
374,5834,2023-04-15,1994.67
375,8640,2022-01-18,853.36
376,4059,2022-08-03,1245.55
377,9837,2024-03-06,227.3
378,3446,2024-03-05,1121.54
379,5295,2023-03-27,1971.65
380,8989,2023-07-15,1009.41
381,5166,2023-04-13,614.23
382,9090,2024-02-13,1794.22
383,809,2022-08-02,1580.27
384,4329,2022-07-27,479.65
385,4607,2022-10-29,1535.18
386,3614,2024-05-27,1832.45
387,7957,2022-05-24,1995.19
388,3930,2024-02-22,1267.63
389,6600,2022-06-16,863.54
390,6091,2024-07-26,1838.17
391,1029,2024-03-27,1656.14
392,8040,2023-03-04,908.44
393,4228,2023-10-11,665.59
394,6551,2022-05-17,1400.84
395,4926,2023-08-26,706.41
396,3173,2022-03-25,1627.58
397,8992,2024-11-22,1624.78
398,4525,2023-06-18,173.76
399,3136,2023-09-02,449.32
400,9736,2022-12-13,200.57
401,8857,2023-12-20,169.21
402,6262,2024-05-01,1543.58
403,8848,2024-10-25,284.57
404,7774,2022-01-25,1788.43
405,6613,2023-04-27,205.9
406,4942,2024-08-13,1574.28
407,979,2024-11-04,1979.72
408,3277,2023-01-21,1495.53
409,7334,2023-10-05,946.08
410,283,2024-06-24,683.45
411,2672,2024-09-21,162.97
412,2782,2023-09-20,1101.58
413,7634,2022-01-11,38.94
414,7295,2022-07-14,357.77
415,9591,2024-05-30,1610.49
416,9822,2023-05-23,737.07
417,1527,2023-07-31,1258.07
418,5381,2023-07-04,1242.43
419,8504,2023-02-04,1656.79
420,1254,2022-09-12,232.23
421,9062,2023-03-14,1535.21
422,3640,2022-02-17,1856.34
423,634,2024-02-08,1845.88
424,6609,2023-12-15,1544.87
425,6918,2024-01-11,1764.95
426,197,2023-08-21,1343.98
427,978,2023-12-17,339.13
428,975,2023-11-29,417.61
429,2871,2024-11-04,1633.54
430,3212,2023-06-30,207.5
431,3058,2023-06-16,500.79
432,3883,2022-02-25,1255.81
433,8978,2024-10-11,1506.73
434,9586,2023-02-27,1153.92
435,4647,2023-10-20,1030.09
436,8845,2022-04-06,135.16
437,8665,2022-05-14,1194.78
438,725,2023-08-16,1552.05
439,651,2023-03-19,503.23
440,7151,2023-06-09,1898.14
441,857,2023-10-18,667.64
442,9649,2022-06-01,1507.07
443,8568,2023-08-11,225.73
444,140,2023-09-21,391.58
445,1831,2022-02-12,88.15
446,1118,2022-11-05,1898.0
447,8548,2022-12-16,1537.35
448,1839,2022-12-09,250.03
449,8700,2023-06-23,1558.22
450,5785,2024-10-01,1598.24
451,6759,2022-08-09,1753.4
452,462,2024-08-12,1544.43
453,2753,2023-05-26,1349.93
454,7936,2024-06-01,663.06
455,9521,2024-06-01,1721.82
456,1158,2021-12-28,450.72
457,8970,2024-06-26,144.8
458,5779,2022-07-08,98.86
459,8893,2022-05-26,726.64
460,5282,2024-01-12,804.76
461,8010,2023-10-16,1419.77
462,2028,2024-11-01,1429.9
463,5912,2022-05-09,1875.75
464,6608,2022-05-27,611.85
465,3817,2024-04-02,1283.45
466,8233,2022-07-30,747.07
467,7462,2022-08-02,819.49
468,8226,2022-11-25,162.68
469,1530,2024-01-20,1875.25
470,8658,2023-09-10,1034.87
471,41,2022-08-22,332.34
472,106,2023-04-30,1905.22
473,2003,2024-09-29,1948.1
474,6940,2024-02-17,1195.18
475,2817,2023-11-09,1067.9
476,1972,2024-03-16,561.74
477,5083,2023-11-27,1587.38
478,111,2023-05-26,1407.68
479,4628,2022-06-29,1463.21
480,9039,2022-01-22,1819.93
481,2097,2023-09-09,443.08
482,2406,2024-08-06,1585.93
483,1297,2023-12-19,1682.99
484,4014,2023-10-13,1245.99
485,3355,2022-02-16,1322.0
486,3750,2022-08-14,1690.99
487,9748,2023-09-06,572.5
488,9216,2024-01-15,914.74
489,2496,2023-05-10,1443.48
490,6181,2022-01-16,1463.45
491,9391,2022-11-05,1176.56
492,711,2023-01-06,899.69
493,7460,2024-10-11,956.07
494,9658,2024-07-17,926.63
495,6591,2023-01-04,1743.78
496,4288,2024-04-23,1166.74
497,8318,2024-10-03,419.87
498,6051,2022-11-24,1780.55
499,543,2023-01-13,1336.16
500,4946,2022-04-20,1328.1
501,4390,2024-07-24,531.08
502,9502,2023-01-27,1113.2
503,4150,2024-10-09,1294.86
504,5235,2022-08-10,572.14
505,2759,2024-02-12,65.29
506,3884,2022-12-30,1483.53
507,2475,2022-11-24,1048.42
508,7252,2023-06-21,1648.1
509,4106,2024-07-21,706.14
510,3046,2022-07-28,1314.89
511,8260,2021-12-05,639.29
512,7415,2022-10-11,192.85
513,9893,2023-12-28,388.37
514,9867,2022-03-13,1838.24
515,6377,2023-03-21,1696.7
516,3952,2023-12-19,329.18
517,5952,2023-10-07,1965.42
518,1702,2024-07-03,382.07
519,3433,2022-11-04,1787.17
520,8949,2023-04-09,816.36
521,358,2024-10-29,1725.92
522,9857,2024-10-05,1070.31
523,3387,2024-05-26,1699.91
524,4607,2023-04-27,300.74
525,1286,2023-01-26,898.61
526,3715,2022-02-23,1464.77
527,4677,2024-07-07,458.85
528,4774,2023-05-13,1222.59
529,1159,2023-09-24,176.92
530,2183,2022-09-21,691.98
531,8622,2024-10-26,845.65
532,6229,2022-07-05,1947.22
533,2768,2023-06-10,116.39
534,509,2023-01-21,523.76
535,961,2023-03-01,961.81
536,3637,2022-04-01,1321.06
537,2956,2024-08-30,1280.18
538,4979,2021-12-25,1689.82
539,9839,2024-01-11,712.27
540,9695,2024-01-11,1627.65
541,5005,2023-12-28,1874.78
542,4971,2022-08-26,229.33
543,3255,2024-07-19,1108.26
544,6066,2024-07-21,1626.25
545,7998,2022-09-03,1848.1
546,8418,2023-06-28,561.98
547,7375,2024-03-14,148.8
548,1597,2022-05-29,1158.95
549,7591,2022-10-30,1438.11
550,3057,2023-01-29,1364.56
551,6671,2022-06-22,486.64
552,7828,2023-12-27,1083.32
553,2867,2023-07-01,958.06
554,9549,2022-04-05,68.2
555,6513,2024-10-06,1201.2
556,2236,2024-10-29,463.21
557,5141,2023-03-31,154.58
558,749,2024-08-07,1715.2
559,5114,2024-11-12,843.46
560,8323,2022-01-01,791.65
561,7506,2022-03-03,507.92
562,7258,2022-02-04,1045.44
563,5196,2022-12-06,1931.23
564,4544,2023-08-09,1295.8
565,8099,2023-11-18,1374.17
566,1296,2024-08-23,595.75
567,6886,2023-12-06,1305.27
568,6565,2022-12-14,1166.85
569,4043,2022-01-17,1313.84
570,2667,2023-04-22,620.78
571,4949,2023-01-06,654.51
572,2506,2023-10-29,59.52
573,6042,2023-04-01,1665.52
574,5381,2022-12-06,1335.23
575,9058,2024-02-26,1622.87
576,5295,2022-09-05,823.74
577,3358,2023-06-06,1100.04
578,7451,2022-06-18,1840.87
579,981,2022-11-17,185.25
580,8422,2023-11-29,1234.13
581,6795,2024-09-11,1201.52
582,1434,2023-11-14,1519.66
583,2482,2023-03-07,452.1
584,9937,2024-04-26,1456.47
585,7587,2021-12-18,1895.82
586,8237,2024-03-19,1658.05
587,7051,2022-02-22,1383.58
588,2633,2023-07-22,968.99
589,9056,2021-12-30,790.01
590,3758,2022-09-10,1670.15
591,9021,2022-10-25,755.44
592,3982,2022-07-31,468.92
593,856,2024-08-17,447.36
594,7773,2024-06-08,713.07
595,3092,2024-11-01,1139.38
596,3637,2023-06-10,1967.08
597,1816,2024-07-30,553.06
598,8188,2022-11-12,754.91
599,8092,2022-02-20,114.69
600,2519,2023-03-02,1644.19
601,1962,2022-08-07,1376.51
602,9847,2024-07-03,572.8
603,2186,2024-06-25,1644.57
604,8931,2022-05-19,344.82
605,8991,2022-04-19,214.92
606,1096,2024-10-26,1565.31
607,1733,2022-10-05,265.89
608,3270,2024-02-10,447.94
609,5256,2024-10-27,1588.67
610,7960,2022-12-05,931.7
611,7449,2024-11-24,84.65
612,2272,2023-05-01,1658.5
613,6805,2024-01-09,582.27
614,1781,2023-04-11,1938.28
615,6642,2023-06-29,1922.83
616,4959,2022-04-02,1232.88
617,517,2024-02-04,1522.2
618,7389,2022-09-11,892.91
619,858,2024-08-12,253.72
620,8415,2024-10-04,1364.84
621,8431,2023-06-22,1728.2
622,2128,2024-10-27,380.99
623,8956,2024-04-20,1221.75
624,2172,2022-03-31,958.91
625,9668,2022-11-01,1234.73
626,1695,2023-04-20,1553.98
627,1794,2022-06-27,319.96
628,4765,2022-01-24,297.94
629,2031,2023-08-12,1504.85
630,1118,2024-04-18,1417.83
631,8360,2024-10-15,674.63
632,8766,2022-01-11,1642.53
633,5183,2022-06-12,428.8
634,9066,2022-03-30,398.89
635,4411,2022-09-18,1514.73
636,3252,2024-05-29,965.17
637,4862,2022-06-05,1724.92
638,2556,2024-11-19,173.56
639,3425,2022-08-10,353.53
640,7573,2022-06-30,1957.06
641,5356,2022-10-27,1750.3
642,148,2023-05-29,1210.39
643,5384,2022-04-11,1787.25
644,3494,2022-06-23,1529.5
645,5055,2022-01-28,1744.41
646,9262,2023-01-23,291.41
647,528,2022-12-05,1938.88
648,8979,2023-01-23,502.31
649,9581,2022-11-10,1521.04
650,188,2023-12-20,716.02
651,8518,2023-06-11,638.24
652,6020,2024-10-22,33.32
653,8816,2023-09-06,1866.83
654,9562,2022-12-30,1639.32
655,8127,2023-12-19,1298.84
656,494,2022-06-04,571.53
657,4333,2023-12-22,1976.19
658,2548,2023-09-05,65.27
659,5967,2022-07-28,946.21
660,5077,2023-07-20,478.27
661,4156,2024-07-15,354.14
662,6618,2022-10-19,1845.07
663,9498,2021-12-09,1061.81
664,2326,2023-01-26,983.75
665,5978,2024-07-01,1846.55
666,9408,2023-06-05,612.67
667,1315,2022-08-11,803.55
668,5246,2023-09-19,385.19
669,3673,2022-04-05,1903.56
670,6580,2024-04-25,1833.79
671,9906,2024-01-06,310.85
672,4350,2023-03-31,1985.61
673,6602,2023-09-17,1376.66
674,9416,2023-06-28,1878.91
675,5663,2024-09-17,29.45
676,5078,2023-10-14,95.95
677,6647,2023-06-04,65.31
678,5557,2024-09-17,1533.89
679,4056,2024-10-16,1053.78
680,1728,2022-05-29,1279.22
681,6402,2023-08-16,1560.55
682,8845,2023-10-12,808.18
683,7732,2023-12-27,1482.93
684,8320,2023-11-23,1901.69
685,8533,2022-10-15,1355.25
686,5253,2023-09-25,584.95
687,7669,2023-08-26,785.96
688,5122,2022-11-18,1107.68
689,83,2023-03-15,1336.94
690,1222,2022-10-28,779.24
691,5631,2024-04-19,1849.99
692,2045,2021-12-24,1532.46
693,3341,2023-07-11,1583.72
694,6109,2022-10-19,747.16
695,9398,2023-07-10,471.11
696,7734,2022-08-31,660.85
697,7258,2022-01-10,71.35
698,5321,2024-08-16,1466.11
699,7365,2023-09-27,973.41
700,6694,2023-03-21,1656.0
701,509,2024-03-08,1236.67
702,7721,2024-06-20,742.22
703,4737,2024-09-17,1520.89
704,5552,2024-04-22,1600.26
705,7506,2024-10-24,1761.32
706,426,2024-01-20,525.35
707,698,2022-11-19,1902.87
708,7090,2022-11-30,1978.84
709,8477,2024-06-30,1197.72
710,207,2023-01-03,80.88
711,1426,2024-03-16,71.5
712,3684,2024-05-06,1541.22
713,3329,2024-02-16,1508.67
714,3274,2023-06-21,1678.46
715,5405,2023-10-14,1205.35
716,7944,2024-01-06,599.54
717,5131,2023-11-02,862.85
718,3786,2024-05-11,1632.71
719,9345,2024-07-31,1087.38
720,3717,2022-04-28,967.68
721,4191,2022-07-06,457.02
722,7720,2022-02-27,359.12
723,6444,2023-07-06,1987.62
724,5564,2024-01-08,835.89
725,7352,2023-06-15,298.45
726,7105,2022-02-28,1918.69
727,7458,2024-09-11,1910.46
728,5871,2023-11-02,148.47
729,6084,2023-03-30,246.85
730,3549,2022-08-18,860.77
731,6822,2023-09-05,454.77
732,5599,2022-08-18,273.16
733,6524,2024-03-26,931.15
734,6411,2022-12-05,243.47
735,6718,2024-04-07,1553.2
736,6185,2024-05-20,785.06
737,4153,2022-01-13,1728.73
738,2648,2022-12-30,565.15
739,2705,2021-12-11,568.42
740,5231,2024-10-25,454.34
741,495,2023-07-29,747.4
742,6662,2024-01-05,1675.31
743,9841,2023-05-18,901.77
744,4035,2022-12-28,111.37
745,7660,2024-11-23,774.89
746,5941,2024-09-10,490.31
747,3247,2023-12-14,1120.99
748,6161,2022-08-21,595.84
749,539,2023-07-24,443.93
750,8435,2023-11-13,1267.49
751,4964,2024-02-21,22.24
752,1322,2022-05-27,892.69
753,4734,2022-07-19,66.5
754,545,2023-08-01,731.02
755,161,2022-01-17,830.21
756,5569,2023-11-01,192.96
757,5381,2023-08-31,759.99
758,1924,2024-02-19,244.94
759,2368,2023-12-26,542.21
760,7006,2023-05-17,1043.45
761,6613,2024-02-26,1143.29
762,9430,2023-05-13,1823.4
763,4587,2024-04-24,1682.36
764,8029,2022-10-28,1372.51
765,9016,2023-12-17,75.28
766,5086,2022-10-06,491.28
767,2280,2024-07-15,1545.77
768,660,2023-06-25,847.05
769,2196,2022-01-15,972.22
770,5537,2024-03-20,1211.55
771,9456,2024-07-21,1418.9
772,9288,2022-11-19,1368.41
773,7905,2022-05-12,276.02
774,489,2023-01-12,551.61
775,1756,2024-10-11,862.03
776,1486,2022-06-15,1870.74
777,6928,2024-02-02,1185.32
778,4819,2022-07-16,539.71
779,4729,2024-07-09,1843.92
780,7555,2021-12-05,909.91
781,5599,2022-03-08,1687.73
782,5744,2022-11-21,556.78
783,6692,2022-06-10,992.87
784,6229,2023-11-18,1623.18
785,3773,2024-03-19,1614.67
786,8194,2023-08-22,1477.46
787,7998,2023-02-13,1414.63
788,6624,2023-07-02,859.22
789,3218,2022-01-25,197.98
790,3370,2021-12-30,1819.55
791,1125,2024-03-07,1375.22
792,6826,2024-07-19,1411.88
793,8417,2022-05-16,662.33
794,9932,2023-07-07,652.21
795,53,2024-05-06,1640.24
796,2779,2022-04-26,453.78
797,7642,2024-10-16,138.22
798,5367,2022-05-20,1554.94
799,9056,2023-02-13,1970.72
800,7860,2022-09-16,803.13
801,5953,2022-06-30,374.6
802,4021,2024-02-11,1278.76
803,6042,2021-12-04,1621.28
804,8610,2024-02-20,1191.24
805,7737,2022-10-13,989.57
806,2891,2023-03-09,1513.12
807,9990,2024-10-17,1592.01
808,1721,2023-12-02,1703.8
809,4696,2024-04-03,1566.28
810,2717,2023-06-25,56.12
811,2552,2022-09-18,402.92
812,2719,2023-04-27,1863.84
813,6260,2023-08-02,859.49
814,144,2023-08-23,65.39
815,1717,2022-03-28,1200.75
816,3398,2021-11-30,329.17
817,6548,2022-09-07,1722.82
818,2240,2023-01-04,799.87
819,4136,2023-03-25,1718.59
820,8963,2022-05-17,552.42
821,3705,2021-12-16,302.75
822,3028,2023-01-11,738.85
823,8343,2023-11-18,1578.56
824,8800,2022-04-25,534.44
825,4994,2024-10-19,994.14
826,9502,2023-06-15,33.11
827,8403,2022-06-17,1568.81
828,8442,2021-12-23,932.69
829,6866,2024-06-24,1195.91
830,4640,2022-12-22,531.87
831,3616,2023-03-12,1911.9
832,419,2022-11-05,583.66
833,5519,2024-04-19,1490.6
834,8237,2023-12-29,126.7
835,7429,2024-05-27,1578.8
836,1287,2022-09-16,48.73
837,1189,2022-02-05,428.11
838,8056,2023-10-12,155.29
839,933,2022-05-06,636.67
840,7073,2024-11-21,1387.27
841,6456,2024-01-19,1490.38
842,1556,2024-07-24,387.36
843,1492,2023-12-03,1300.67
844,9886,2022-02-22,399.51
845,8593,2024-01-13,1444.7
846,2650,2024-09-02,1637.84
847,63,2024-02-09,478.66
848,8603,2023-12-16,1445.21
